x,y,sy
"41,000","0,079","0,005"
"42,000","0,097","0,006"
"48,000","0,179","0,010"
"51,000","0,236","0,013"
"52,000","0,245","0,013"
"53,000","0,268","0,029"
"55,000","0,261","0,017"
"56,000","0,277","0,016"
"66,000","0,308","0,018"
"70,000","0,296","0,017"
"74,000","0,290","0,017"
"78,000","0,266","0,016"
"79,000","0,260","0,015"
"82,000","0,231","0,013"
"83,000","0,216","0,013"
